time,open_000977,close_000977,high_000977,low_000977,volume_000977,open_000021,close_000021,high_000021,low_000021,volume_000021,open_300076,close_300076,high_300076,low_300076,volume_300076,open_002312,close_002312,high_002312,low_002312,volume_002312,open_002635,close_002635,high_002635,low_002635,volume_002635,open_300130,close_300130,high_300130,low_300130,volume_300130,open_600271,close_600271,high_600271,low_600271,volume_600271,open_300367,close_300367,high_300367,low_300367,volume_300367,open_002528,close_002528,high_002528,low_002528,volume_002528,open_000066,close_000066,high_000066,low_000066,volume_000066,open_002177,close_002177,high_002177,low_002177,volume_002177,open_300282,close_300282,high_300282,low_300282,volume_300282,open_300390,close_300390,high_300390,low_300390,volume_300390,open_300042,close_300042,high_300042,low_300042,volume_300042,open_600100,close_600100,high_600100,low_600100,volume_600100,open_600074,close_600074,high_600074,low_600074,volume_600074,open_600734,close_600734,high_600734,low_600734,volume_600734,open_002376,close_002376,high_002376,low_002376,volume_002376,open_600601,close_600601,high_600601,low_600601,volume_600601,open_002180,close_002180,high_002180,low_002180,volume_002180,open_002351,close_002351,high_002351,low_002351,volume_002351,open_002308,close_002308,high_002308,low_002308,volume_002308,open_300045,close_300045,high_300045,low_300045,volume_300045,open_002362,close_002362,high_002362,low_002362,volume_002362,open_002152,close_002152,high_002152,low_002152,volume_002152,open_002577,close_002577,high_002577,low_002577,volume_002577,open_603019,close_603019,high_603019,low_603019,volume_603019
575.0,15.91,15.98,15.98,15.86,0.6282,8.19,8.15,8.19,8.14,0.4533,6.86,6.86,6.88,6.81,0.2589,5.16,5.15,5.16,5.13,0.9206,37.4,37.69,38.0,37.35,0.4287,17.41,17.46,17.58,17.41,0.1291,18.75,18.73,18.8,18.72,0.3392,16.51,16.56,16.6,16.45,0.5587,5.63,5.59,5.63,5.55,0.2703,8.6,8.52,8.62,8.48,1.94,5.45,5.45,5.46,5.42,0.5103,19.0,19.0,19.0,18.88,0.0431,8.03,7.96,8.03,7.95,0.0887,0.0,34.0,34.09,34.0,0.0016,,,,,,,,,,,10.96,10.82,10.96,10.82,0.2031,12.45,12.41,12.45,12.38,0.0581,3.76,3.77,3.77,3.75,0.7361,21.7,21.57,21.7,21.54,0.0142,10.75,10.83,10.83,10.7,0.3707,13.69,13.86,13.86,13.6,0.4962,10.0,9.94,10.07,9.9,0.4421,20.49,20.43,20.49,20.33,0.2338,7.75,7.75,7.81,7.73,0.3308,20.06,20.1,20.25,20.06,0.0851,24.58,24.31,24.58,24.24,0.6435
580.0,15.98,16.06,16.06,15.98,0.4144,8.15,8.17,8.17,8.14,0.2092,6.86,6.86,6.88,6.82,0.3361,5.15,5.15,5.15,5.13,0.8081,37.69,38.03,38.08,37.69,0.3741,17.46,17.51,17.53,17.45,0.0586,18.73,18.74,18.75,18.7,0.2521,16.56,16.69,16.7,16.56,0.213,5.59,5.58,5.6,5.58,0.1959,8.52,8.55,8.55,8.52,0.9019,5.45,5.43,5.45,5.4,0.3149,19.0,19.04,19.04,19.0,0.0244,7.96,7.96,7.98,7.95,0.0735,34.0,34.2,34.2,33.93,0.0049,,,,,,,,,,,10.82,10.9,10.9,10.82,0.12,12.41,12.4,12.42,12.39,0.0637,3.77,3.76,3.78,3.75,0.6413,21.57,21.58,21.73,21.54,0.0029,10.83,10.8,10.83,10.76,0.1903,13.86,13.81,13.86,13.81,0.2183,9.94,10.03,10.06,9.93,0.2505,20.43,20.42,20.46,20.35,0.1901,7.75,7.77,7.79,7.74,0.2718,20.1,20.19,20.19,20.05,0.0584,24.31,24.41,24.41,24.31,0.2733
585.0,16.06,16.07,16.12,16.06,0.5325,8.17,8.15,8.18,8.15,0.1658,6.86,6.87,6.89,6.86,0.1092,5.15,5.16,5.16,5.14,0.3958,38.03,38.25,38.25,37.93,0.3613,17.51,17.51,17.57,17.51,0.0374,18.74,18.77,18.84,18.74,0.1738,16.69,16.74,16.76,16.69,0.2152,5.58,5.59,5.6,5.58,0.1703,8.55,8.57,8.58,8.52,0.6707,5.43,5.42,5.43,5.42,0.1335,19.04,19.03,19.07,19.03,0.0133,7.96,7.99,7.99,7.96,0.0288,34.2,34.05,34.38,34.02,0.0071,,,,,,,,,,,10.9,10.93,10.93,10.88,0.064,12.4,12.42,12.42,12.4,0.0376,3.76,3.77,3.77,3.76,0.1787,21.58,21.58,21.59,21.57,0.0087,10.8,10.76,10.8,10.74,0.3658,13.81,13.79,13.82,13.69,0.2932,10.03,10.04,10.05,9.98,0.0849,20.42,20.46,20.47,20.41,0.0765,7.77,7.77,7.79,7.75,0.2652,20.19,20.15,20.19,20.12,0.0395,24.41,24.48,24.49,24.41,0.1703
590.0,16.07,16.0,16.08,15.97,0.1798,8.15,8.16,8.19,8.14,0.3091,6.87,6.85,6.88,6.85,0.1318,5.16,5.14,5.16,5.14,0.3797,38.25,38.7,38.8,38.25,0.5787,17.51,17.51,17.56,17.5,0.0294,18.77,18.75,18.8,18.75,0.0961,16.74,16.72,16.79,16.72,0.1296,5.59,5.58,5.59,5.58,0.0641,8.57,8.51,8.58,8.5,2.1757,5.42,5.42,5.44,5.42,0.1992,19.03,19.04,19.08,19.03,0.0155,7.99,7.98,7.99,7.97,0.0209,34.05,34.12,34.13,34.04,0.0113,,,,,,,,,,,10.93,10.86,10.94,10.86,0.0855,12.42,12.43,12.45,12.42,0.0384,3.77,3.77,3.78,3.76,0.2205,21.58,21.64,21.64,21.57,0.0026,10.76,10.78,10.8,10.76,0.1509,13.79,13.75,13.79,13.74,0.093,10.04,10.08,10.08,10.01,0.1252,20.46,20.43,20.47,20.43,0.1128,7.77,7.78,7.79,7.77,0.0976,20.15,20.07,20.15,20.06,0.0798,24.49,24.47,24.53,24.46,0.1586
595.0,15.97,16.0,16.0,15.97,0.1037,8.18,8.18,8.18,8.16,0.1089,6.85,6.85,6.86,6.84,0.1985,5.15,5.15,5.15,5.13,0.4659,38.71,39.01,39.3,38.71,0.6165,17.51,17.5,17.53,17.48,0.0239,18.76,18.76,18.8,18.75,0.122,16.72,16.74,16.79,16.69,0.1588,5.59,5.57,5.59,5.57,0.0485,8.51,8.52,8.53,8.5,0.5237,5.43,5.42,5.43,5.41,0.1608,19.04,19.01,19.04,19.0,0.0174,7.98,7.97,7.99,7.97,0.0291,34.12,34.09,34.12,34.03,0.002,,,,,,,,,,,10.86,10.81,10.86,10.75,0.1833,12.43,12.41,12.44,12.41,0.0322,3.77,3.76,3.77,3.76,0.087,21.57,21.54,21.57,21.54,0.0132,10.78,10.77,10.79,10.76,0.133,13.75,13.72,13.75,13.65,0.1855,10.08,10.26,10.28,10.04,0.4399,20.43,20.43,20.45,20.43,0.0555,7.78,7.78,7.79,7.77,0.0563,20.08,20.06,20.11,20.05,0.0908,24.46,24.4,24.48,24.4,0.1104
600.0,16.0,16.03,16.03,16.0,0.0995,8.18,8.17,8.19,8.16,0.1516,6.85,6.86,6.86,6.84,0.0841,5.15,5.16,5.16,5.14,0.3846,39.01,39.01,39.13,38.91,0.262,17.5,17.48,17.5,17.47,0.0242,18.77,18.98,18.99,18.76,0.482,16.74,16.77,16.79,16.72,0.1578,5.57,5.57,5.58,5.57,0.0794,8.52,8.53,8.55,8.51,0.4383,5.42,5.42,5.42,5.4,0.3728,19.01,19.02,19.03,19.01,0.0095,7.97,7.98,7.98,7.97,0.0217,34.09,34.01,34.1,34.0,0.0154,,,,,,,,,,,10.8,10.85,10.85,10.77,0.0841,12.41,12.44,12.45,12.41,0.0543,3.76,3.76,3.77,3.76,0.6306,21.54,21.6,21.6,21.54,0.0053,10.77,10.78,10.78,10.75,0.1232,13.72,13.71,13.76,13.71,0.105,10.26,10.46,10.5,10.23,1.807,20.43,20.38,20.43,20.37,0.1251,7.78,7.76,7.79,7.76,0.2195,20.06,20.08,20.13,20.04,0.1013,24.4,24.44,24.46,24.39,0.1023
605.0,16.03,15.98,16.06,15.98,0.1248,8.19,8.18,8.2,8.16,0.2043,6.86,6.85,6.87,6.85,0.1371,5.16,5.16,5.17,5.16,0.1368,39.01,38.84,39.02,38.7,0.2403,17.48,17.49,17.53,17.48,0.0169,18.99,18.91,19.0,18.91,0.2929,16.77,16.87,16.95,16.77,0.4124,5.57,5.57,5.58,5.57,0.0597,8.53,8.54,8.56,8.53,0.6714,5.42,5.43,5.43,5.42,0.0637,19.02,19.0,19.05,19.0,0.0216,7.98,7.97,7.99,7.97,0.0242,34.01,34.02,34.1,34.0,0.011,,,,,,,,,,,10.85,10.8,10.85,10.79,0.0599,12.44,12.43,12.44,12.41,0.064,3.76,3.77,3.77,3.76,0.1333,21.6,21.5,21.6,21.5,0.0296,10.78,10.77,10.81,10.76,0.1851,13.71,13.67,13.78,13.67,0.1933,10.46,10.47,10.65,10.46,1.3748,20.38,20.34,20.4,20.34,0.1252,7.76,7.75,7.78,7.74,0.1993,20.08,20.07,20.08,20.05,0.0531,24.45,24.47,24.53,24.44,0.1507
610.0,15.98,15.97,15.99,15.95,0.1887,8.18,8.16,8.19,8.16,0.0817,6.85,6.86,6.86,6.85,0.0806,5.16,5.17,5.17,5.16,0.1007,38.84,38.85,38.91,38.8,0.1329,17.49,17.47,17.49,17.47,0.013,18.91,18.89,18.93,18.89,0.1462,16.87,16.87,16.9,16.84,0.3138,5.57,5.56,5.58,5.55,0.1794,8.53,8.53,8.54,8.52,0.4748,5.43,5.42,5.43,5.41,0.0688,19.0,18.93,19.01,18.92,0.0133,7.97,7.94,7.97,7.91,0.1356,34.02,33.99,34.03,33.98,0.007,,,,,,,,,,,10.8,10.82,10.83,10.79,0.0445,12.42,12.45,12.46,12.41,0.0547,3.77,3.76,3.77,3.75,0.2624,21.5,21.55,21.55,21.5,0.0007,10.77,10.77,10.77,10.75,0.17,13.67,13.65,13.7,13.6,0.2697,10.47,10.47,10.5,10.42,0.6839,20.34,20.29,20.36,20.25,0.1856,7.75,7.75,7.75,7.74,0.0784,20.07,20.08,20.08,20.04,0.0908,24.47,24.46,24.48,24.43,0.1468
615.0,15.98,15.99,16.0,15.96,0.09,8.15,8.16,8.17,8.15,0.1542,6.86,6.86,6.87,6.85,0.0631,5.17,5.17,5.17,5.16,0.1969,38.85,38.8,38.85,38.72,0.1663,17.47,17.51,17.52,17.46,0.024,18.89,18.98,18.99,18.89,0.2743,16.87,16.86,16.95,16.86,0.3582,5.56,5.56,5.57,5.55,0.0711,8.54,8.53,8.54,8.52,0.4015,5.42,5.42,5.42,5.41,0.0813,18.93,18.91,18.99,18.91,0.0185,7.94,7.96,7.96,7.92,0.0283,33.99,33.99,34.0,33.99,0.0071,,,,,,,,,,,10.82,10.79,10.82,10.79,0.1296,12.45,12.49,12.5,12.43,0.1143,3.76,3.78,3.78,3.75,0.9438,21.55,21.55,21.55,21.53,0.0012,10.77,10.81,10.81,10.77,0.0819,13.64,13.67,13.7,13.64,0.0888,10.47,10.5,10.58,10.47,0.7007,20.29,20.37,20.37,20.29,0.0893,7.75,7.75,7.76,7.74,0.096,20.08,20.1,20.15,20.07,0.0151,24.46,24.55,24.56,24.45,0.1149
620.0,15.99,15.98,15.99,15.96,0.0874,8.16,8.14,8.16,8.14,0.1556,6.86,6.86,6.86,6.85,0.0374,5.17,5.17,5.17,5.16,0.1138,38.8,38.71,38.8,38.6,0.3689,17.51,17.51,17.53,17.51,0.0051,18.99,18.91,18.99,18.91,0.2785,16.86,16.84,16.89,16.83,0.1265,5.56,5.56,5.57,5.55,0.0309,8.53,8.51,8.54,8.51,0.6497,5.42,5.42,5.43,5.41,0.1127,18.91,18.92,18.93,18.9,0.0093,7.96,7.95,7.96,7.94,0.028,33.99,34.18,34.18,33.99,0.0034,,,,,,,,,,,10.8,10.76,10.8,10.76,0.0974,12.49,12.45,12.49,12.44,0.0153,3.78,3.77,3.78,3.77,0.0878,21.55,21.52,21.55,21.5,0.0058,10.81,10.81,10.82,10.79,0.0851,13.67,13.65,13.67,13.6,0.1269,10.5,10.47,10.51,10.46,0.2775,20.37,20.4,20.43,20.31,0.0907,7.75,7.76,7.76,7.74,0.1242,20.1,20.06,20.13,20.04,0.0711,24.54,24.54,24.55,24.51,0.073
